Year,output_ha,yield_kg_ha,ave_temp,Precipitation_mm
1974,1825550,1377.7,20.94,750.51
1975,2329000,1365.0,21.39,602.67
1976,2320963,1226.6,20.98,552.14
1977,2802638,850.4,21.59,493.18
1978,2785000,1438.4,21.33,539.3
1979,2482354,1491.9,21.94,468.5
1980,2451000,1094.2,22.31,451.11
1981,2685000,1284.9,21.84,558.03
1982,2452436,790.5,21.69,419.67
1983,3108544,1572.9,21.96,506.8
1984,3518105,1578.8,21.22,561.29
1985,3238000,1482.7,21.76,417.16
1986,2274000,1560.2,21.77,419.96
1987,2346000,1456.5,21.74,477.16
1988,2190112,1480.1,22.35,475.47
1989,2309935,1750.8,21.53,480.81
1990,2450000,1676.6,22.02,436.06
1991,2450000,1676.6,22.18,478.45
1992,2650000,1709.4,21.65,467.51
1993,2947000,1831.3,21.9,499.34
1994,3424470,1947.2,21.84,355.79
1995,2470490,1179.2,21.7,523.34
1996,3110590,1871.9,22.01,478.33
1997,3367000,1988.7,21.73,527.93
1998,3521000,1841.0,22.31,549.85
1999,3167000,1890.4,21.82,574.62
2000,2589000,1947.9,21.46,649.41
2001,3454000,1952.2,21.48,497.3
2002,3707378,2233.3,22.17,343.55
2003,3863778,1000.3,22.13,467.52
2004,4477024,2318.9,21.99,497.33
2005,4645658,1666.0,22.46,407.7
2006,4405727,2152.1,21.85,455.67
2007,4181979,1017.9,22.0,469.39
2008,4901838,1460.7,21.71,470.31
2009,5015011,1594.5,22.14,483.95
2010,4421596,1778.7,21.48,645.32
2011,3680994,2171.9,21.47,561.0
2012,3718261,2210.9,21.76,472.58
2013,3644368,2050.2,22.73,447.81
2014,3814113,2405.4,22.55,462.45
2015,4078041,2120.2,22.34,450.67
2016,4107648,2189.2,22.37,499.4
2017,4834102,2793.9,22.48,472.5
2018,4124158,2243.8,22.52,448.05
2019,4436588,1987.8,22.8,377.83
2020,5040903,2009.0,22.53,485.72
2021,5491009,2667.7,22.04,494.62
2022,5094527,2822.1,21.93,531.74
2023,3807695,3543.2,22.31,480.06
